location,ResidualIncome
Bedfordshire and Hertfordshire,9828.0
"Berkshire, Buckinghamshire and Oxfordshire",
Cheshire,2048.0
Cornwall and Isles of Scilly,1074.0
Cumbria,
Derbyshire and Nottinghamshire,11974.0
Devon,-118.0
Dorset and Somerset,17920.0
East Anglia,3705.0
East Wales,782.0
East Yorkshire and Northern Lincolnshire,8536.0
Eastern Scotland,6752.0
Essex,9965.0
"Gloucestershire, Wiltshire and Bath/Bristol area",-6288.0
Greater Manchester,13221.0
Hampshire and Isle of Wight,966.0
"Herefordshire, Worcestershire and Warwickshire",
Highlands and Islands,3708.0
Inner London - East,4746.0
Inner London - West,
Kent,2008.0
Lancashire,10921.0
"Leicestershire, Rutland and Northamptonshire",14596.0
Lincolnshire,
Merseyside,13998.0
North Eastern Scotland,7565.0
North Yorkshire,
Northern Ireland,8150.0
Northumberland and Tyne and Wear,33070.0
Outer London - East and North East,13788.0
Outer London - South,2180.0
Outer London - West and North West,14972.0
Shropshire and Staffordshire,7236.0
South Yorkshire,7670.0
Southern Scotland,3892.0
"Surrey, East and West Sussex",4284.0
Tees Valley and Durham,390.0
West Central Scotland,7505.0
West Midlands,2432.0
West Wales,1314.0
West Yorkshire,
